questions,keywords,lang
¿Cuántos lenguajes de programación existen?,cuántos lenguajes programación,es
Hoeveel programmeertalen zijn er?,"hoeveel, programmeertalen",nl
"Welche Schachspieler starben am selben Ort, an dem sie geboren wurden?","Schachspieler, gestorben, gleich, Ort, geboren",de
Который шахматы игроки умер в  одна и та же место Oни мы Родился в? ,"шахматы игроки ,  Британская граф ,   ,  одна и та же ,  место ,  Родился ",ru
"Qual Xadrez jogadoras morreu dentro a mesmo Lugar, colocar eles estavam nascermos dentro? ","xadrez jogadoras ,  britânico conde ,  o ,  mesmo ,  Lugar,  colocar ,  nascermos ",pt
Which Chess players died in the same place they were born in?,"chess players, British earl, die, same, place, born",en
कौन कौन से शतरंज खिलाड़ियों मर गए में  वही जगह वे थे उत्पन्न होने वाली में? ,"शतरंज खिलाड़ियों ,  अंग्रेजों राजा ,   ,  वही ,  जगह ,  उत्पन्न होने वाली ",hi_IN
کدام بازکنان شطرنج در همان مکانی مردند که متولد شدند؟,بازکنان شطرنج، همان، مکانی، مردند، متولد,fa
Quali giocatori di scacchi morirono nel loro luogo di nascita?,"giocatori di scacchi, morire, stesso, posto, nate",it
Quels joueurs d'échecs moururent dans leur ville de naissance?,"joueurs d'échecs, mort, ville de naissance",fr
Care jucători de șah au murit în același loc în care s-au născut?,"jucători de șah, British earl, murit, același, loc, născut",ro
¿Qué jugadores de ajedrez murieron en sus lugares de nacimiento?,"jugadores de ajedrez, murieron, lugar de nacimiento",es
Welke schakers stierven in hun geboorteplaats?,"schakers, sterf, in geboorteplaats",nl
Wem gehört Facebook?,"gehört, Facebook",de
Кто является  владелец из Facebook? ,"владелец ,  facebook ",ru
Quem é a proprietário do Facebook? ,"proprietário ,  Facebook ",pt
Who is the owner of Facebook?,"owner, Facebook",en
कौन है  मालिक का फेसबुक? ,"मालिक ,  फेसबुक ",hi_IN
چه کسی مالک فیسبوک است؟,مالک، فیسبوک,fa
Chi è il proprietario di Facebook?,"proprietario, Facebook",it
À qui appartient Facebook?,"propriétaire, Facebook",fr
Cine este proprietarul Facebook?,"proprietar, Facebook?",ro
¿Quién es el dueño de Facebook?,"dueño, Facebook",es
Wie is de eigenaar van Facebook?,"eigenaar, Facebook",nl
Gib mir alle Filme mit Tom Cruise.,"Film, Tom Cruise",de
Дайте меня все кино с Том Круиз. ,"кино ,  Том Круиз ",ru
Dar mim todos filmes com Tom Cruzeiro. ,"filme ,  Tom Cruzeiro ",pt
Give me all movies with Tom Cruise.,"movie, Tom Cruise",en
देना मुझे सब चलचित्र साथ में टॉम क्रूज। ,"चलचित्र ,  टॉम क्रूज ",hi_IN
تمام فیلم های تام کروز را لیست کن.,فیلم های، تام کروز,fa
Dammi tutti i film con Tom Cruise.,"film, Tom Cruise",it
Donnes-moi tous les films avec Tom Cruise.,"films, Tom Cruise",fr
Dă-mi toate filmele cu Tom Cruise.,"film, Tom Cruise",ro
Dame todas las películas con Tom Cruise,"películas, Tom Cruise",es
Noem alle films met Tom Cruise.,"film, Tom Cruise",nl
In welchem US-Bundesstaat liegt Fort Knox?,"Fort Knox, liegen, US-Bundesstaat",de
В который У.С. государство является Форт Нокс располагается? ,"Форт Нокс ,  располагается ,  У.С. государство ",ru
Dentro qual EUA Estado é Forte Knox localizado? ,"Forte Knox ,  localizado ,  EUA Estado ",pt
In which U.S. state is Fort Knox located?,"Fort Knox, located, U.S. state",en
सैयुक्त राज्य के किस राज्य में फोर्ट नॉक्स स्थित है?,"सैयुक्त राज्य, फोर्ट नॉक्स, स्थित",hi_IN
  واقع شده؟  ناکس  فورت  است  حالت  ایالات متحده  که  که در,"  ناکس  فورت,    واقع شده,    حالت  ایالات متحده",fa
In quale stato americano si trova Fort Knox?,"Fort Knox, trovarsi, stato americano",it
Em qual estado dos EUA fica o Fort Knox?,"estado dos EUA, Fort Knox",pt_BR
Dans quel état américain se trouve Fort Knox?,"état américain, Fort Knox",fr
În care SUA stat este Fort Knox situat? ,"Fort Knox ,  situat ,  SUA stat ",ro
¿En qué estado american se encuentra Fort Knox?,"Fort Knox, se encuentra, estado americano",es
In welke staat van de Verenigde Staten ligt Fort Knox?,"Fort Knox, staat van de Verenigde Staten, ligt",nl
"Gib mir alle Städte in New Jersey, die mehr als 100000 Einwohner haben.","New Jersey, Stadt, Einwohner, mehr als 100000",de
Дайте меня все города в новый Джерси с Больше чем 100000 жители. ,"новый Джерси ,  город ,  жителей ,  Больше чем 100000 ",ru
Dar mim todos cidades dentro Novo Jersey com Mais do que 100000 habitantes. ,"Novo Jersey ,  cidade ,  habitantes ,  Mais do que 100000 ",pt
Give me all cities in New Jersey with more than 100000 inhabitants.,"New Jersey, city, inhabitants, more than 100000",en
मुझे न्यू जर्सी के १००००० से अधिक निवासियों के साथ सभी शहरों की सूचि बतायें।,"न्यू जर्सी, १००००० से अधिक निवासि, शहर",hi_IN
  لیست تمام شهرهای نیو جرسی که جمعیت آنها بیش از ۱۰۰هزار نفر است.,نیوجرسی، شهر، جمعیت، بیشتر از ۱۰۰۰۰۰,fa
Dammi tutte le città del New Jersey con più di 100000 abitanti.,"New Jersey, città, abitanti, più di 100000",it
Donnes-moi toutes les villes du New Jersey avec plus de 100000 habitants.,"New Jersey, villes, habitants, plus de 100000",fr
Da pe mine toate orase în Nou jerseu cu Mai Mult decât 100000 locuitori. ,"Nou jerseu ,  oraș ,  locuitori ,  Mai Mult decât 100000 ",ro
Dame todas las cuidades en New Jersey que tengan más de 100000 habitantes.,"New Jersey, ciudad, habitantes, más de 100000",es
Geef alle steden in New Jersey met meer dan 100000 inwoners.,"New Jersey, stad, inwoners, meer dan 100000",nl
Welche Berge sind höher als der Nanga Parbat?,"Berg, höher, Nanga Parbat",de
Который горы находятся выше чем  Нанга Парбат? ,"гора ,  выше ,  Нанга Парбат ",ru
Qual montanhas estamos superior do que a Nanga Parbat? ,"montanha ,  superior ,  Nanga Parbat ",pt
Which mountains are higher than the Nanga Parbat?,"mountain, higher, Nanga Parbat",en
कौन कौन से पहाड़ों कर रहे हैं उच्चतर से  नंगा परबत? ,"पर्वत ,  उच्चतर ,  नंगा परबत ",hi_IN
چه کوه هایی از نانگا پاربات بلندتر هستند؟,کوه هایی، نانگا پاربات، بلندتر,fa
Quali montagne sono più alte del Nanga Parbat?,"montagna, più alta, Nanga Parbat",it
Quelles montagnes sont plus hautes que le Nanga Parbat?,"montagnes, plus hautes, Nanga Parbat",fr
Ce munți sunt mai mari decât Nanga Parbat?,"munte, mai mare, Nanga Parbat",ro
¿Qué montañas son más altas que el Nanga Parbat?,"montañas, más altas, Nanga Parbat",es
Welke bergen zijn hoger dan de Nanga Parbat?,"bergen, hoger, Nanga Parbat",nl
Gib mir alle B-Seiten der Ramones.,"Ramones, B-Seiten",de
Дайте меня все B-сайда из  Ramones. ,"Ramones ,  B-сайда ",ru
Dar mim todos Lados B do a Ramones. ,"Ramones ,  Lados B ",pt
Give me all B-sides of the Ramones.,"Ramones, B-sides",en
देना मुझे सब बी पक्षों का  रमोंस। ,"रमोंस ,  बी पक्षों ",hi_IN
تمام پشت صفحه های رامونز را لیست کن.,پشت صفحه، رامونز,fa
Dammi tutti i lati B dei Ramones.,"Ramones, lato B",it
Donnes-moi tous les faces B des Ramones.,"faces B, Ramones",fr
Dă-mi toate laturile B ale Ramones,"Ramones, laturi B",ro
Dame todas las caras B de los Ramones.,"Ramones, cara B",es
Geef alle B-kantjes van singles van de Ramones.,"B-kant, single, de Ramones",nl
Worauf ist die UNC Health Care spezialisiert?,"Spezialisierung, UNC Health Care",de
Какие находятся  специальности из  UNC Здоровье Забота? ,"специальности ,  UNC Здоровье Забота ",ru
o que estamos a especialidades do a UNC Saúde Cuidado? ,"especialidades ,  UNC Saúde Cuidado ",pt
What are the specialities of the UNC Health Care?,"specialities, UNC Health Care",en
क्या कर रहे हैं  विशेषता का  यूएनसी स्वास्थ्य देखभाल? ,"विशेषता ,  यूएनसी स्वास्थ्य देखभाल ",hi_IN
تخصص های UNC Health Care چیست؟,تخصص های، UNC Health Care,fa
Quali sono le specialità della UNC Health Care?,"specialità, UNC Health Care?",it
Quelles sont les spécialités de l'UNC Health Care?,"spécialités, UNC Health Care?",fr
Care sunt specializările UNC Health Care?,"specializări, UNC Health Care",ro
¿Cuáles son las especialidades del UNC Health Care?,"especialidades, UNC Health Care",es
Wat zijn de specialiteiten van de UNC Health Care?,"specialiteiten, UNC Health Care",nl
Wann wurde Olof Palme erschossen?,"Datum, Olof Palme, erschossen",de
когда был Олоф Palme выстрел? ,"Дата ,  Олоф Palme ,  выстрел ",ru
Quando estava Olof Palme tiro? ,"encontro ,  Olof Palme ,  tiro ",pt
When was Olof Palme shot?,"date, Olof Palme, shot",en
कब था ओलोफ पाल्मे शॉट? ,"तारीख ,  ओलोफ पाल्मे ,  शॉट ",hi_IN
چه زمانی اولاف پالمه گلوله خورد؟,زمانی، اولاف پالمه، گلوله,fa
Quando è stato ucciso Olof Palme?,"data, Olof Palme, ucciso",it
Quand a été tué Olof Palme?,"date de décès, Olof Palme",fr
Când a fost ucis Olof Palme?,"dată, Olof Palme, ucis",ro
¿Cuándo fue disparado Olof Palme?,"fecha, disparo, Olof Palme",es
Wanneer werd Olof Palme neergeschoten?,"datum, Olof Palme, neergeschoten",nl
Gib mir eine Liste aller Könige von Rom.,"Könige, Rom",de
Список  семь короли из Рим. ,"короли ,  Рим ",ru
Lista a Sete reis do Roma. ,"reis ,  Roma ",pt
List the seven kings of Rome.,"kings, Rome",en
सूची  सात राजाओं का रोम। ,"राजाओं ,  रोम ",hi_IN
هفت پادشاه رم را لیست کن.,پادشاه، رم,fa
Elenca i sette re di Roma.,"sette re, Roma",it
Donne-moi les sept rois de Rome.,"rois, Rome",fr
Enumeră cei șapte regi ai Romei.,"șapte regi, Roma",ro
Lista los siete reyes de Roma.,siete reyes Roma,es
Geef de seven koningen van Rome.,"koningen, Rome",nl
"Gib mir alle Personen, die in Wien geboren wurden und in Berlin gestorben sind.","Person, geboren, Wien, gestorben, Berlin",de
Дайте меня все люди что мы Родился в Вена а также умер в Берлин. ,"люди ,  Родился ,  Вена ,   ,  Берлин ",ru
Dar mim todos pessoas aquele estavam nascermos dentro Viena e morreu dentro Berlim. ,"pessoas ,  nascermos ,  Viena ,  o ,  Berlim ",pt
Give me all people that were born in Vienna and died in Berlin.,"people, born, Vienna, die, Berlin",en
देना मुझे सब लोग उस थे उत्पन्न होने वाली में वियना तथा मर गए में बर्लिन। ,"लोग ,  उत्पन्न होने वाली ,  वियना ,   ,  बर्लिन ",hi_IN
تمام افرادی که در وین متولد شدند و در برلین مردند را لیست کن.,افرادی، متولد، وین، برلین، مردند,fa
Dammi tutte le persone che sono nate a Vienna e morte a Berlino.,"persona, nata, Vienna, morta, Berlino",it
Donne-moi toutes les personnes qui sont nées à Vienne et mortes à Berlin.,"personnes, nées, Vienne, mortes, Berlin",fr
Dă-mi toți oamenii care s-au născut în Viena și au murit în Berlin.,"oameni, născut, Viena, murit, Berlin",ro
Dame todas las personas que hayan nacido en Viena y hayan muerto en Berlin.,"personas, nacidas en Viena, muertas en Berlin",es
Noem alle personen die geboren zijn in Wenen en gestorven zijn in Berlijn.,"persoon, geboren, Wenen, gestorven, Berlijn",nl
Ist Darth Vader Lukes Vater?,"Darth Vader, Vater, Luke",de
Является Darth Вейдер Люк отец? ,"Darth Вейдер ,  отец ,  Люк ",ru
É Darth Vader Luke pai? ,"Darth Vader ,  pai ,  Lucas ",pt
Is Darth Vader Luke’s father?,"Darth Vader, father, Luke",en
है डार्थ Vader ल्यूक के पिता? ,"डार्थ Vader ,  पिता ,  ल्यूक ",hi_IN
آیا دارت ویدر پدر لوک است؟,دارت ویدر، پدر، لوک,fa
Darth Vader è il padre di Luke?,"Darth Vader, padre, Luke",it
Est-ce que Darth Vader le père de Luke?,"Darth Vader, père, Luke",fr
Este Darth Vader tatăl lui Luke?,"Darth Vader, tatăl, Luke",ro
¿Es Darth Vader el padre de Luke?,"Darth Vader, padre, Luke",es
Is Darth Vader de vader van Luke?,"Darth Vader, vader, Luke",nl
Zeig mir alle Brauereien in Australien.,"Brauereien, Australien",de
Показать меня все  пивоварни в Австралия. ,"пивоварни ,  Австралия ",ru
exposição mim todos a cervejarias dentro Austrália. ,"cervejarias ,  Austrália ",pt
Show me all the breweries in Australia.,"breweries, Australia",en
प्रदर्शन मुझे सब  ब्रुअरीज में ऑस्ट्रेलिया। ,"ब्रुअरीज ,  ऑस्ट्रेलिया ",hi_IN
تمام آبجوسازی های استرالیا را لیست کن.,آبجوسازی های، استرالیا,fa
Mostrami tutti i birrifici in Australia.,"birrifici, Australia",it
Montre-moi toutes les brasseries d'Australie.,"brasseries, Australie",fr
Arată-mi toate berăriile din Australia.,"berării, Australia",ro
Muéstrame todas las cervecerías en Australia.,"cervecerías, Australia",es
Toen alle brouwerijen in Australië.,"brouwerijen, Australië",nl
"Gib mir alle Filme, die von Steven Spielberg produziert wurden und ein Budget von mindestens 80 Millionen Dollar hatten.","Film, Produzent, Steven Spielberg, Budget, $80 Millionen",de
Дайте меня все фильмы произведенный от Стивен Спилберг с  бюджет из в наименее $ 80 млн. ,"фильмы ,  режиссер ,  Стивен Спилберг ,  производство бюджет ,  $ 80 миллиона ",ru
Dar mim todos filmes produzido de Steven Spielberg com uma despesas do a menos US $ 80 milhão. ,"filmes ,  produtor ,  Steven Spielberg ,  Produção despesas ,  US $ 80 milhão ",pt
Give me all films produced by Steven Spielberg with a budget of at least $80 million.,"films, producer, Steven Spielberg, production budget, $80 million",en
देना मुझे सब फिल्मों प्रस्तुत द्वारा स्टीवन स्पीलबर्ग साथ में ए बजट का पर कम से कम $ 80 दस लाख। ,"फिल्मों ,  उत्पादक ,  स्टीवन स्पीलबर्ग ,  उत्पादन बजट ,  $ 80 दस लाख ",hi_IN
تمام فیلم های تولید شده توسط استیون اسپیلبرگ با بودجه حداقل 80 میلیون دلار را لیست کن.,فیلم های، تولید، استیون اسپیلبرگ، بودجه، 80 میلیون دلار,fa
Dammi tutti i film prodotti da Steven Spielberg con un budget finale di produzione di almeno 80 milioni di dollari.,"film, produttore, Steven Spielberg, butget di produzione, 80 milioni di dollari",it
Donne-moi tous les films produit par Steven Spielberg ayant un budget d'au moins $80 millions.,"films, Steven Spielberg, budget, au moins $80 millions",fr
"Dă-mi toate filmele produse de Steven Spielberg, cu un buget final de producție de cel puțin 80 milioane de dolari.","filme, producător, Steven Spielberg, buget, 80 milioane de dolari",ro
Dame todas las películas producidas por Steven Spielberg con un presupuesto de al menos 80 milliones de dólares.,"películas, productor, Steven Spielberg, presupuesto de al menos 80 milliones de dólares",es
Toon alle films die door Steven Spielberg worden geproduceerd en die een budget van minstens 80 miljoen dollar hadden.,"films, geproduceert door, Steven Spielberg, budget, minstens 80 miljoen dollar",nl
Gib mir alle Fußballvereine in Spanien.,"Fußballverein, Spanien",de
Дайте меня все футбольный клубы в Испания. ,"Испания ,  футбольный клуб ",ru
Dar mim todos futebol clubes dentro Espanha. ,"Espanha ,  futebol clube ",pt
Give me all soccer clubs in Spain.,"Spain, soccer club",en
देना मुझे सब फुटबॉल क्लब में स्पेन। ,"स्पेन ,  फुटबॉल क्लब ",hi_IN
تمام باشگاه های فوتبال در اسپانیا را لیست کن.,باشگاه های فوتبال، اسپانیا,fa
Dammi tutti i club calcistici della Spagna,"Spagna, club calcistico",it
Donnes-moi tous les clubs de football d'Espagne.,"Espagne, clubs de football",fr
Dă-mi toate cluburile de fotbal din Spania,"Spania, club de fotbal",ro
Dame todos los club de fútbol de España.,"España, club de fútbol",es
Noem alle Spaanse voetbalclubs.,"Spanje, voetbalclub",nl
"Wer produzierte Filme, in denen Natalie Portman mitspielt?","produzieren, Film, mitspielen, Natalie Portman",de
Кто произведенный фильмы в главной роли Натали Портман? ,"производить ,  фильм ,  в главной роли ,  Натали Портман ",ru
Quem produzido filmes estrelando Natalie Portman? ,"produzir ,  filme ,  estrelando ,  Natalie Portman ",pt
Who produced films starring Natalie Portman?,"produce, film, starring, Natalie Portman",en
कौन प्रस्तुत फिल्मों अभिनीत नेटली पोर्टमैन? ,"उत्पादित करें ,  फ़िल्म ,  अभिनीत ,  नेटली पोर्टमैन ",hi_IN
چه کسی فیلم هایی با بازی ناتالی پورتمن را تولید کرده است؟,فیلم هایی، بازی، ناتالی پورتمن، تولید,fa
Chi ha prodotto i film in cui recita Natalie Portman?,"produttore, film, recita, Natalie Portman",it
Qui a produit des films dans lesquels joue Natalie Portman?,"produit, films, Natalie Portman",fr
Cine a produs filme cu Natalie Portman în rol principal?,"produce, film, rol principal, Natalie Portman",ro
¿Quién ha producido películas en las que actua Natalie Portman?,"producente, perlículas, actua, Natalie Portman",es
Wie produceerde films waarin Natalie Portman speelde?,"producent, film, Natalie Portman, speelt",nl
Gib mir alle Schäferhundrassen.,Schäferhundrasse,de
Дайте меня все породы из  Немецкий Пасти собака. ,"разводить ,  Немецкий Пасти собака ",ru
Dar mim todos raças do a alemão pastor cachorro. ,"procriar ,  alemão pastor cachorro ",pt
Give me all breeds of the German Shepherd dog.,"breed, German Shepherd dog",en
देना मुझे सब नस्लों का  जर्मन चरवाहा कुत्ता। ,"नस्ल ,  जर्मन चरवाहा कुत्ता ",hi_IN
تمام گونه های سگ ژرمن شپرد را لیست کن.,گونه، سگ ژرمن شپرد,fa
Dammi tutte le razze del pastore tedesco.,"razza, pastore tedesco",it
Donnes-moi toutes les races de bergers allemands.,"races, bergers allemands",fr
Dă-mi toate rasele câinelui Ciobănesc German.,"rasă, câine Ciobănesc German",ro
Dame todas las razas de pastor alemán.,razas de pastor alemán,es
Noem alle soorten Duitse herders.,"Duitse herder, soort",nl
Wer ist der schwerste Spieler der Chicago Bulls?,"schwerster Spieler, Chicago Bulls",de
Кто является  самый тяжелый игрок из  Чикаго Быков? ,"самый тяжелый игрок ,  Чикаго Быки ",ru
Quem é a mais pesado jogador do a Chicago Touros ,"mais pesado jogador ,  Chicago Touros ",pt
Who is the heaviest player of the Chicago Bulls?,"heaviest player, Chicago Bulls",en
कौन है  भारी खिलाड़ी का  शिकागो बुल्स? ,"भारी खिलाड़ी ,  शिकागो बुल्स ",hi_IN
چه کسی سنگین ترین بازیکن شیکاگو بولز است؟,سنگین ترین بازیکن، شیکاگو بولز,fa
Chi è il giocatore più pesante dei Chicago Bulls?,"giocatore, più pesante, Chicago Bulls",it
Quel joueur des Chicago Bulls pèse le plus?,"joueur, poids maximal, Chicago Bulls",fr
Cine este cel mai greu jucător de la Chicago Bulls?,"cel mai greu, jucător, Chicago Bulls",ro
¿Quien es el jugador mas pesado del los Chicago Bulls?,"jugador, pesado, Chicago Bulls",es
Wie is de zwaarste speler van de Chicago Bulls?,"zwaarste, speler, Chicago Bulls",nl
Welche Sprachen werden in Estland gesprochen?,"Sprache, sprechen, Estland",de
Который языки находятся разговорный в Эстония? ,"язык ,  разговорный ,  Эстония ",ru
Qual línguas estamos falada dentro Estônia? ,"língua ,  falada ,  Estônia ",pt
Which languages are spoken in Estonia?,"language, spoken, Estonia",en
कौन कौन से भाषाओं कर रहे हैं बोली जाने में एस्टोनिया? ,"भाषा ,  बोली जाने ,  एस्तोनिया ",hi_IN
چه زبان هایی در استونی صحبت می شود؟,زبان هایی، استونی، صحبت,fa
Quali lingue sono parlate in Estonia?,"lingua, Estonia",it
Quelles langues parle-t-on en Estonie?,"langues, Estonie",fr
Ce limbi sunt vorbite în Estonia?,"limbă, vorbită, Estonia",ro
¿Qué idiomas se hablan en Estonia?,"idiomas, Estonia",es
Welke talen worden gesproken in Estland?,"taal, gesproken, Estland",nl
Was ist das größte Land der Welt?,größtes Land,de
Какие является  крупнейший страна в  Мир? ,"крупнейший страна ,  Мир ",ru
o que é a maior país dentro a mundo? ,"maior país ,  mundo ",pt
What is the largest country in the world?,"largest country, world",en
कौन सा देश दुनिया का सबसे बड़ा देश है?,"सबसे बड़ा, देश",hi_IN
بزرگترین کشور در دنیا کدام است؟,بزرگترین کشور، دنیا,fa
Qual è la nazione più grande al mondo?,"nazione, più grande al mondo",it
Quel est le pays le plus grand du monde?,"Pays, grandeur maximale",fr
Care este cea mai mare țară din lume?,"cea mai mare țară, lume",ro
¿Cuál es el país más grande del mundo?,"país, más grande mundo",es
Wat is het grootse land ter wereld?,grootste land,nl
Was ist das größten Stadt im Amerika? ,"größten ,  Stadt ,  Amerika ",de
Какие является  крупнейший город в Америка? ,"крупнейший ,  город ,  Америка ",ru
o que é a maior cidade dentro América? ,"maior ,  cidade ,  América ",pt
What is the largest city in america?,"largest, city, america",en
अमेरिका में सबसे बड़ा शहर कौन सा है?,"विशालतम ,  शहर ,  अमेरिका ",hi_IN
  آمریكا  که در  شهر  بزرگترین  این  است  چی,"  بزرگترین,    شهر,    آمریكا",fa
Che cosa è il maggiore città in America? ,"maggiore ,  città ,  America ",it
Quelle est la plus grand ville dans Amérique? ,"plus grand ,  ville ,  Amérique ",fr
Ce este  cea mai mare oraș în America? ,"cea mai mare ,  oraș ,  America ",ro
Qué es el más grande ciudad en ¿America? ,"más grande ,  ciudad ,  America ",es
Wat is de De grootste stad in Amerika? ,"De grootste ,  stad ,  Amerika ",nl
Welcher Papst hat das Vatikanische Fernsehen gegründet?,"Papst, gegründet, Vatikanisches Fernsehen",de
Who was the pope that founded the Vatican Television?,"pope, founded, Vatican Television",en
किस पोप ने वेटिकन टेलीविजन की स्थापना की थी?,"पोप, वेटिकन टेलीविजन, स्थापना",hi_IN
Quale papa ha fondato la televisione vaticana?,"papa, fondare, televisione vaticana",it
Quel pape est le fondateur de la télé du Vatican?,"pape, fondateur, télé du Vatican",fr
Cine a fost papa care a creat televiziunea din Vatican?,"papa, fondat, televiziunea din Vatican",ro
¿Quien fue el papa que fundo la televisión Vaticana?,"papa, fundo, televisión Vaticana",es
Welk paus richtte de Vaticaanse televisie op?,"paus, oprichter, Vaticaanse televisie",nl
Wer entdeckte Ceres?,"Ceres, Entdecker",de
Кто обнаруженный Ceres? ,"исследователь ,  Церера ",ru
Quem descoberto Ceres? ,"descobridor ,  Ceres ",pt
Who discovered Ceres?,"discoverer, Ceres",en
सेरेस की खोज किसने की?,"सेरेस, खोज",hi_IN
سرس را چه کسی کشف کرد؟,سرس، کشف,fa
Chi ha scoperto Cerere?,"scopritore, Cerere",it
Qui a découvert Cérès?,"découvreur, Cérès",fr
Cine l-a descoperit pe Ceres?,"descoperitor, Ceres",ro
¿Quién descubrió Ceres?,"descubridor, Ceres",es
Wie ontdekte Ceres?,"Ceres, ontdekker",nl
Wer ist der König der Niederlande?,"König, Niederlande",de
Кто является  король из  Нидерланды? ,"король ,   Нидерланды ",ru
Quem é a rei do a Países Baixos? ,"rei ,  a Países Baixos ",pt
Who is the king of the Netherlands?,"king, the Netherlands",en
नीदरलैंड का राजा कौन है?,"नीदरलैंड, राजा",hi_IN
پادشاه هلند کیست؟,پادشاه، هلند,fa
Chi è il re dei Paesi Bassi?,"re, Paesi Bassi",it
Qui est le roi des Pays-Bas?,"roi, pays-bas",fr
Cine este regele Țărilor de Jos?,"rege, Țările de Jos",ro
¿Quién es el rey de los Países Bajos?,"rey, Países Bajos",es
Wie is de koning van Nederland?,"koning, Nederland",nl
Ist Cola ein Getränk?,"Cola, Getränk",de
Является кола  напитки? ,"кола ,  напиток ",ru
É Cola uma bebida? ,"Cola ,  bebida ",pt
Is Cola a beverage?,"Cola, beverage",en
क्या कोला एक पेय है?,"कोला, पेय",hi_IN
آیا کولا یک نوشیدنی است؟ ,"کولا, نوشیدنی",fa
La Cola è una bevanda?,"Cola, bevanda",it
Le Coca est-il une boisson?,"Coca, boisson",fr
Cola este o băutură?,"Cola, băutură",ro
¿La Coca Cola es una bebida?,"Coca Cola, bebida",es
Is cola een drank?,"Cola, drank",nl
Was ist das Alma mater von das Kanzler von Deutschland Angela Merkel? ,Angela Merkel ,de
Какие является  альма мать из  канцлер из Германия Angela Меркель? ,Angela Меркель ,ru
o que é a alma mater do a chanceler do Alemanha Angela Merkel? ,Angela Merkel ,pt
What is the alma mater of the chancellor of Germany Angela Merkel?,Angela Merkel,en
जर्मनी के चांसलर एंजेला मार्केल का अल्मा माटर क्या हैं?,एंजेला मार्केल ,hi_IN
  مرکل؟  آنجلا  آلمان  از  صدراعظم  این  از  مادر  alma  این  است  چی,  مرکل  آنجلا,fa
Che cosa è il alma mater di il cancelliere di Germania Angela Merkel? ,Angela Merkel ,it
Quelle est la alma mater de la chancelier de Allemagne Angela Merkel? ,Angela Merkel ,fr
Ce este  alma mamă de  cancelar de Germania Angela Merkel? ,Angela Merkel ,ro
Qué es el alma mater de el canciller de Alemania Angela Merkel? ,Angela Merkel ,es
Wat is de alma mater van de kanselier van Duitsland Angela Merkel? ,Angela Merkel ,nl
Wer schrieb das Buch Die Säulen der Erde?,"schreiben, Buch, Die Säulen der Erde",de
Кто писал  книга  столбы из  Терра? ,"писал ,  книга ,   столбы из  Земля ",ru
Quem escrevi a livro o pilares de o terre? ,"escrevi ,  livro ,  o pilares do a Terra ",pt
Who wrote the book Les Piliers de la terre?,"wrote, book, The pillars of the Earth",en
लेस पिलीरेस डी ला टेरे किताब को किसने लिखा है?,"लेस पिलीरेस डी ला टेर, लेखक",hi_IN
چه کسی کتاب قطب های زمین را نوشته است؟,"نوشته است , کتاب, قطب های زمین ",fa
Chi ha scritto il libro I pilastri della Terra?,"scritto, libro, I pilastri della Terra",it
Qui a écrit le livre Les Piliers de la terre?,"Les Piliers de la terre, écrivain",fr
Care a scris  carte  piloni de  terre? ,"a scris ,  carte ,   piloni de  Pământ ",ro
¿Quen escribió el libro Los pilares de la Tierra?,"escritor, libro, Pilares de la Tierra",es
Wie schreef het boek De Pilaren van de Aarde?,"auteur, De Pilaren van de Aarde",nl
Welche Flughäfen fliegt Yeti Airlines an?,"Flughäfen, anfliegen, Yeti Airlines",de
Который аэропорты делает Йети Авиакомпании обслуживать? ,"аэропорты ,  Йети Авиакомпании ",ru
Qual aeroportos faz Yeti Companhias Aéreas servir? ,"aeroportos ,  Yeti Companhias Aéreas ",pt
Which airports does Yeti Airlines serve?,"airports, Yeti Airlines",en
यति एयरलाइंस किस हवाई अड्डे की सेवा करती है?,"यति एयरलाइंस, हवाई अड्ड, सेवा",hi_IN
یتی ایرلاینرز در چه فرودگاه هایی فعالیت می کند؟,یتی ایرلاینرز، فرودگاه هایی,fa
Quali aeroporti sono serviti da Yeti Airlines?,"aeroporti, Yeti Airlines",it
Quels sont les aéroports servis par Yeti Airlines?,"Yeti Airlines, aéroports",fr
Ce aeroporturi deservește Yeti Airlines?,"aeroporturi, Yeti Airlines",ro
¿Qué aeropuertos sirve Yeti Airlines?,"aeropuertos, Yeti Airlines",es
Naar welke luchthavens vliegt Yeti Airlines?,"luchthavens, Yeti Airlines",nl
Woher ist das Geburtsort von Goethe? ,Goethe ,de
где является  место рождения из Гете? ,Гете ,ru
Onde é a berço do Goethe? ,Goethe ,pt
Where is the birthplace of Goethe?,Goethe,en
गेटे का जन्मस्थल कहा पे है? ,गेटे ,hi_IN
  گوته  از  زادگاه  این  است  جایی که,  گوته,fa
Dove è il luogo di nascita di Goethe? ,Goethe ,it
Où est la Lieu de naissance de Goethe? ,Goethe ,fr
Unde este  locul naşterii de Goethe? ,Goethe ,ro
Dónde es el lugar de nacimiento de ¿Goethe? ,Goethe ,es
Waar is de geboorteplaats van Goethe? ,Goethe ,nl
War die Kubakrise vor der Schweinebuchtinvasion?,"Kubakrise, vor, Schweinebuchtinvasion",de
Был  кубинский ракета Кризис ранее чем  залив из Свиньи Вторжение? ,"кубинский ракета Кризис ,  ранее ,  залив из Свиньи нашествие ",ru
